Physaria_128,Trousdale_(_Tennessee_)
Physaria_129,Davidson_(_Tennessee_)
Physaria_130,Trousdale_(_Tennessee_)
Physaria_131,Davidson_(_Tennessee_)
Physaria_132,Montgomery_(_Tennessee_)
Physaria_133,Montgomery_(_Tennessee_)
Physaria_134,Cheatham_(_Tennessee_)
Physaria_135,Montgomery_(_Tennessee_)
Physaria_136,Franklin_(_Kentucky_)
Physaria_137,Davidson_(_Tennessee_)
Physaria_138,Cheatham_(_Tennessee_)
Physaria_139,Trousdale_(_Tennessee_)
Physaria_140,Montgomery_(_Tennessee_)
Physaria_141,Montgomery_(_Tennessee_)
Physaria_142,Franklin_(_Kentucky_)
Physaria_143,Davidson_(_Tennessee_)
Physaria_144,Trousdale_(_Tennessee_)
Physaria_145,Posey_(_Indiana_)
Physaria_146,Trousdale_(_Tennessee_)
Physaria_147,Montgomery_(_Tennessee_)
Physaria_148,Cheatham_(_Tennessee_)
Physaria_149,Posey_(_Indiana_)
Physaria_150,Montgomery_(_Tennessee_)
Physaria_151,Franklin_(_Kentucky_)
Physaria_152,Posey_(_Indiana_)
Physaria_153,Montgomery_(_Tennessee_)
Physaria_267,Cheatham_(_Tennessee_)
Physaria_460,Franklin_(_Kentucky_)
Physaria_461,Franklin_(_Kentucky_)
Physaria_462,Franklin_(_Kentucky_)
Physaria_463,Woodford_(_Kentucky_)
Physaria_464,Woodford_(_Kentucky_)
Physaria_465,Woodford_(_Kentucky_)
Physaria_466,Woodford_(_Kentucky_)
Physaria_467,NA_(_NA_)
Physaria_468,NA_(_NA_)
Physaria_469,NA_(_NA_)
Physaria_470,NA_(_NA_)
Physaria_471,NA_(_NA_)
Physaria_472,NA_(_NA_)
Physaria_473,NA_(_NA_)
Physaria_474,NA_(_NA_)
Physaria_476,NA_(_NA_)
Physaria_477,NA_(_NA_)
Physaria_480,Madison_(_Kentucky_)
Physaria_481,NA_(_NA_)
Physaria_483,Smith_(_Tennessee_)
Physaria_484,Smith_(_Tennessee_)
Physaria_485,Smith_(_Tennessee_)
Physaria_486,Smith_(_Tennessee_)
Physaria_488,Cheatham_(_Tennessee_)
Physaria_490,Cheatham_(_Tennessee_)
Physaria_491,Cheatham_(_Tennessee_)
Physaria_492,Cheatham_(_Tennessee_)
Physaria_493,Cheatham_(_Tennessee_)
Physaria_495,Cheatham_(_Tennessee_)
Physaria_499,Cheatham_(_Tennessee_)
Physaria_501,Cheatham_(_Tennessee_)
Physaria_502,Cheatham_(_Tennessee_)
Physaria_503,Cheatham_(_Tennessee_)
Physaria_510,Montgomery_(_Tennessee_)
Physaria_511,Montgomery_(_Tennessee_)
Physaria_512,Montgomery_(_Tennessee_)
Physaria_513,Montgomery_(_Tennessee_)
Physaria_514,Montgomery_(_Tennessee_)
Physaria_515,Montgomery_(_Tennessee_)
Physaria_516,Montgomery_(_Tennessee_)
Physaria_517,Montgomery_(_Tennessee_)
Physaria_518,Montgomery_(_Tennessee_)
Physaria_519,Montgomery_(_Tennessee_)
Physaria_520,Montgomery_(_Tennessee_)
